"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Bunnahabhain 14yo 2003 Pedro Ximenez Finish","8.84","0.55","15","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 12yo Sauternes Cask Finish","8.84","0.17","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 6)","8.84","0.20","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Longrow Red 11yo Port Cask","8.84","0.38","18","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 12yo Pinot Noir Finish","8.84","0.29","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balblair 1990 Second Release","8.83","0.24","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ben Nevis 10yo (post-2017)","8.83","0.45","9","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Fino Sherry Cask","8.83","0.51","16","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Aberlour A'Bunadh (Batch 32)","8.82","0.72","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 59)","8.82","0.23","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Box (High Coast) Dalvve Sherry Influence","8.82","0.49","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Glenmorangie Companta","8.82","0.56","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:4","8.82","0.26","5","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Aberlour A'Bunadh (Batch 60)","8.81","0.23","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut PX Sherry Single Cask (all casks)","8.81","0.46","17","$$$$","SingleMalt-like","ABC","A","India","Malt"
"GlenDronach 18yo Allardice","8.81","0.39","26","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Nadurra Cask Strength (NAS)","8.81","0.11","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig PX Triple Matured","8.81","0.54","22","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn 15yo","8.81","0.40","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Royal Brackla 21yo","8.81","0.2","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ben Nevis 18yo The Maltman","8.80","0.12","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 18yo Tawny Port Finish","8.80","0.36","8","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Brandy Oak","8.80","0.24","8","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Two Brewers Release 02 Special Finishes","8.8","0.6","4","$$$$","SingleMalt-like","ABC","B","Canada","Malt"
"AnCnoc 22yo","8.79","0.31","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Deanston 2008 Bordeaux Red Wine Cask Matured","8.79","0.20","6","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfiddich Snow Phoenix","8.79","0.37","13","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Teapot Dram (all batches)","8.79","0.47","6","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Bacalta","8.79","0.33","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Full Volume","8.79","0.22","16","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 11yo Australian Shiraz","8.79","0.48","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 15yo","8.79","0.23","25","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 48)","8.78","0.51","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt Amarone Cask Finish","8.78","0.33","18","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Macallan Reflexion","8.78","0.28","6","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 21yo Port Wood","8.77","0.37","26","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glen Garioch 15yo Renaissance Chapter 1","8.77","0.24","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 21yo Parliament","8.77","0.39","28","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Longrow Red 11yo Cabernet Sauvignon","8.77","0.45","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Millstone 12yo Sherry Cask","8.76","0.51","12","$$$$","SingleMalt-like","ABC","C","Netherlands","Malt"
