name,rating,type
Glengoyne 15 Year,9.5,Bourbon
Laphroaig Cairdeas 2014 Amontillado Cask Edition,9.5,Mezcal Joven
Jim Beam Signature Craft 12 Year Bourbon,9.5,Mezcal Joven
Eagle Rare 17 Year Bourbon (Fall 2013),9.5,Blended Grain
Lark Single Malt Single Cask,9.5,Bourbon
Lark Single Malt Cask Strength,9.5,Single Malt
Hakushu 25 Year,9.5,Single Malt
Johnnie Walker Green Label 15 Year,9.5,Canadian
Bruichladdich 1988 / 30: The Untouchable,9.4,Unflavored Vodka
Bruichladdich 1988 / 30: The Untouchable,9.4,Bourbon
Eagle Rare 17 Year Bourbon (Fall 2019),9.4,Unflavored Vodka
Ardbeg Traigh Bhan 19 Year 2019 Edition,9.4,Bourbon
Próspero Blanco Tequila,9.4,Peated Single Malt
Lo-Fi Aperitifs Gentian Amaro,9.4,Sotol Blanco
Michter's 10 Year Single Barrel Kentucky Straight Rye (2019 Release),9.4,Single Malt
Glen Grant 1948 Private Collection (Gordon & Macphail),9.4,Unflavored Vodka
Plantation Extrême No. 3 Jamaica ITP 1996,9.4,Aged Rum
St. Germain Elderflower Liqueur ,9.4,Single Malt
Laphroaig 28 Year,9.4,Peated Single Malt
Lot No. 40 11 Year Cask Strength,9.4,Canadian
Lot No. 40 11 Year Cask Strength,9.4,Blended Malt
Eagle Rare 17 Year Bourbon (Fall 2018),9.4,Bourbon
Tequila El Mayor Single Estate Los Lobos Plantation Blanco,9.4,Bourbon
Wyoming Whiskey Barrel Strength Bourbon (Barrel #3242),9.4,Peated Blend
Ketel One Botanical Grapefruit & Rose,9.4,Single Malt
King of Kentucky 14 Year Kentucky Straight Bourbon (2018 Release),9.4,Rye
Don Amado Pechuga Mezcal,9.4,Aged Rum
Don Amado Arroqueño Mezcal,9.4,Single Malt
"Compass Box Hedonism, The Muse",9.4,Tequila Añejo
Booker's Bourbon Batch 2017-04 Sip Awhile,9.4,Cognac
The Balvenie Tun 1509 Batch 4,9.4,Navy Rum
The Balvenie Tun 1509 Batch 4,9.4,Peated Single Malt
Loch Lomond 50 Year,9.4,Single Grain
Gooderham & Worts Three Grain Little Trinity 17 Year,9.4,Bourbon
Nikka Coffey Vodka,9.4,Rhum Agricole Vieux
George T. Stagg Bourbon (Fall 2017),9.4,Genever
Absolut Vodka,9.4,Old Tom Gin
Old Forester Birthday Bourbon 2017,9.4,Navy-Strength Gin
Port Ellen 37 Year (2017 Special Release),9.4,London Dry Gin
Sotol Coyote Blanco Chihuahua,9.4,Bourbon
