name,rating,type
Copperworks American Single Malt,8.55,Malt
Matsui Sakura Cask,8.55,Malt
Midleton Very Rare 2015,8.55,Blend
Two Brewers Innovative (all releases),8.55,Malt
Mortlach 12yo,8.54,Malt
Sullivans Cove American Oak,8.54,Malt
Balvenie 14yo Carribean Cask,8.53,Malt
Deanston 18yo (Bourbon Finish),8.53,Malt
Glengoyne 17yo,8.53,Malt
Nikka Pure Malt Red,8.53,Malt
Tyrconnell 10yo Madeira Cask Finish,8.53,Malt
Arran Malt Sauternes Finish,8.52,Malt
Auchentoshan Bartender's Malt,8.51,Malt
Box (High Coast) The Messenger,8.51,Malt
Glenfiddich 14yo Rich Oak,8.51,Malt
Green Spot,8.51,Malt
Teerenpeli Distiller’s Choice RASI,8.51,Malt
Glen Grant 16yo,8.5,Malt
Glen Grant 18yo,8.5,Malt
Mackmyra Moment Jord,8.5,Malt
Royal Brackla 16yo,8.5,Malt
Singleton of Glendullan 15yo,8.5,Malt
Westland American Single Malt (American Oak),8.5,Malt
Kininvie 23yo (all batches),8.49,Malt
Yamazaki Distiller's Reserve,8.49,Malt
Mackmyra Special 05,8.48,Malt
Bruichladdich The Organic 2003,8.47,Malt
Macallan 15yo Fine Oak,8.47,Malt
Macallan 21yo Fine Oak,8.47,Malt
Balblair 16yo,8.46,Malt
Mackmyra Moment Källa,8.46,Malt
Paul John Brilliance,8.46,Malt
Singleton of Glen Ord 15yo,8.46,Malt
Benromach Organic,8.45,Malt
Mackmyra Moment Solsken,8.45,Malt
Bunnahabhain Stiuireadair,8.43,Malt
Mortlach Rare Old,8.43,Malt
Macallan Edition No. 5,8.42,Malt
Glen Elgin 12yo,8.41,Malt
Macallan 12yo Double Cask,8.41,Malt
Mackmyra Moment Malström (Maelstrom),8.41,Malt
Mackmyra Special 08,8.41,Malt
Nikka Taketsuru 12yo,8.41,Malt
Tullamore Dew 14yo Single Malt,8.41,Malt
Tullibardine 25yo,8.41,Malt
Bunnahabhain Eirigh Na Greine,8.4,Malt
Bushmills 12yo Single Malt,8.4,Malt
GlenDronach 8yo The Hielan,8.4,Malt
Glenfiddich IPA Cask Finish Experimental Series No. 1,8.4,Malt
Teerenpeli 8yo,8.4,Malt
Auchentoshan 18yo,8.39,Malt
Bunnahabhain Darach Ur,8.39,Malt
Nikka All Malt,8.39,Malt
