name,rating
Balvenie Vintage Cask 1966 (4289),9.1
Banff 1975 Duncan Taylor (Rarest) ,8.5
Banff 1975 Duncan Taylor K&L,8.5
Banff 1976 Cadenhead's,8.5
Banff 1980 Signatory Cask Strength,8.5
Bar Code Scotch Whisky,7.0
Barrell Whiskey Batch 001,8.1
Barrell Whiskey Batch 002,8.8
Barterhouse,8.5
Basil Hayden's,7.8
Bastille 1789,7.2
Belgian Owl,7.5
Belle Meade Barrel 2525,8.8
Belle Meade Barrel 2573,8.5
Bellow's Club Bourbon (1970),8.1
Ben Nevis 13 Port Wood Finish,8.8
Ben Nevis 1966 Blackadder,8.5
Ben Nevis 1966 for Alembic Classique,8.8
Ben Nevis 1975 Signatory,8.8
Ben Nevis 1984 25 yo,8.5
Ben Nevis 1990 Cadenhead's,8.8
Ben Nevis 1990 La Maison du Whisky,8.5
Ben Nevis 1992 Signatory 16yo,9.1
Ben Nevis 1992 Signatory 17yo,8.8
Ben Nevis 1995 Faultline for K&L,7.5
Ben Nevis 1995 Montgomerie's Rare Select,7.8
Ben Nevis 1996 15 yo,8.5
Ben Nevis 1996 Duncan Taylor NC2,8.1
Ben Nevis 1996 First Cask,8.8
Ben Nevis 1996 Kintra,8.1
Ben Nevis 1996 Whisky Galore (The Party Source),8.1
Ben Nevis 1996 Whisky-Fassle,8.8
Ben Nevis 1998 Carn Mor,8.1
Ben Nevis 1998 DT Octave K&L,8.1
Ben Nevis 25,8.8
Ben Wyvis 1968 Signatory,8.8
Bender's Rye,8.1
BenRiach 10 ,8.1
BenRiach 10 Curiositas,8.5
BenRiach 12 ,7.8
BenRiach 15 Dark Rum Finish,8.8
BenRiach 15 Madeira Finish,8.5
BenRiach 15 Pedro Ximenez Finish,8.5
BenRiach 15 Tawny Port Finish,7.8
BenRiach 16,8.1
Benriach 17 Septendecim,7.8
BenRiach 17 Single Cask Nation,8.5
BenRiach 1968 Duncan Taylor,8.8
BenRiach 1969 Connoisseurs Choice,9.1
BenRiach 1970 Cask 4005,9.1
